pVal,AverageB,AverageL,B1,L1,B2,L2,B3,L3,B4,L4,B5,L5,B6,L6,B7,L7,B8,L8,B9,L9,B10,L10
0.33,0.2530247821,5000,0.253051984,5000,0.2529873952,5000,0.2530574976,5000,0.2529645088,5000,0.2529978816,5000,0.253040704,5000,0.253016224,5000,0.2530172128,5000,0.253059344,5000,0.2530550688,5000
0.34,0.2545761088,5000,0.254653312,5000,0.2546176672,5000,0.2546675584,5000,0.2544938656,5000,0.2544684352,5000,0.2546091136,5000,0.2545879776,5000,0.2545830944,5000,0.254502976,5000,0.254577088,5000
0.35,0.2561741472,5000,0.2561893664,5000,0.2561593792,5000,0.2560394848,5000,0.2562144352,5000,0.256192928,5000,0.256199888,5000,0.2561517952,5000,0.2561770368,5000,0.2562278336,5000,0.2561893248,5000
0.36,0.257767312,5000,0.2577663968,5000,0.2577498208,5000,0.2577379904,5000,0.2577828928,5000,0.2577950816,5000,0.2577756096,5000,0.2577012352,5000,0.2578700672,5000,0.257746384,5000,0.2577476416,5000
0.37,0.2593983914,5000,0.2593343104,5000,0.259424512,5000,0.259250784,5000,0.2594544992,5000,0.2594069376,5000,0.2594453696,5000,0.2594311552,5000,0.2593535232,5000,0.2594624192,5000,0.2594204032,5000
0.38,0.2610437222,5000,0.2610255712,5000,0.2610222272,5000,0.2611022336,5000,0.2610822752,5000,0.2610339584,5000,0.2610503584,5000,0.2611094304,5000,0.2609989152,5000,0.2609558304,5000,0.2610564224,5000
0.39,0.2626761232,5000,0.2626469248,5000,0.262643376,5000,0.262670928,5000,0.2626123488,5000,0.26265064,5000,0.2627440672,5000,0.2626435776,5000,0.2627774368,5000,0.2627104288,5000,0.262661504,5000
0.4,0.2643494454,5000,0.2643663712,5000,0.2643279392,5000,0.2643196928,5000,0.2643869696,5000,0.2643533824,5000,0.2643765824,5000,0.2642947456,5000,0.2644257152,5000,0.2643250272,5000,0.2643180288,5000
0.41,0.2659765411,5000,0.2659327168,5000,0.2659276512,5000,0.2659184064,5000,0.2659647168,5000,0.2659496064,5000,0.2659705728,5000,0.2660403104,5000,0.2660160608,5000,0.2660909856,5000,0.265954384,5000
0.42,0.2676482336,5000,0.2676621824,5000,0.2675439168,5000,0.2677113248,5000,0.2675962848,5000,0.2676728448,5000,0.2676342816,5000,0.2677068384,5000,0.2676517056,5000,0.2676119648,5000,0.267690992,5000
0.43,0.2693034637,5000,0.2691818048,5000,0.2693221472,5000,0.2693301984,5000,0.269280416,5000,0.2693318464,5000,0.2693248256,5000,0.2692187744,5000,0.2693415392,5000,0.2693468128,5000,0.269356272,5000
0.44,0.2709481283,5000,0.2709052096,5000,0.2709596192,5000,0.2709624352,5000,0.2709662432,5000,0.2708835008,5000,0.2708649056,5000,0.2709960352,5000,0.2709946464,5000,0.2710253632,5000,0.2709233248,5000
0.45,0.272590121,5000,0.272597536,5000,0.2725564064,5000,0.2725752576,5000,0.2726732512,5000,0.2725563488,5000,0.2726180832,5000,0.2725045088,5000,0.2725706816,5000,0.272672144,5000,0.272576992,5000
0.46,0.2742228512,5000,0.2742106208,5000,0.2742267232,5000,0.2742226144,5000,0.2742139072,5000,0.2743242368,5000,0.2741758816,5000,0.2742127008,5000,0.2742062944,5000,0.2741850144,5000,0.2742505184,5000
0.47,0.2758662074,5000,0.2758838688,5000,0.275967328,5000,0.2757976064,5000,0.2758578528,5000,0.2758626912,5000,0.2758683648,5000,0.2759102304,5000,0.2758304768,5000,0.2758669952,5000,0.2758166592,5000
0.48,0.2774927709,5000,0.2774944224,5000,0.2775242976,5000,0.2774997888,5000,0.2774414208,5000,0.2775447936,5000,0.277460672,5000,0.2774551584,5000,0.2775899072,5000,0.2774490784,5000,0.2774681696,5000
0.49,0.2790507606,5000,0.2789563296,5000,0.2790517376,5000,0.2790724864,5000,0.2790750976,5000,0.2790247936,5000,0.2790837888,5000,0.2790885504,5000,0.279028672,5000,0.279077808,5000,0.2790483424,5000
0.5,0.2806635702,5000,0.2806992128,5000,0.2806323648,5000,0.2806534912,5000,0.2806180032,5000,0.2807438528,5000,0.28065824,5000,0.2807111264,5000,0.2806730176,5000,0.2806598016,5000,0.280586592,5000
0.51,0.2822223811,5000,0.2821654464,5000,0.2822006912,5000,0.2822405056,5000,0.2823095072,5000,0.2822101696,5000,0.2823028224,5000,0.2822316992,5000,0.2822307648,5000,0.2820848928,5000,0.282247312,5000
0.52,0.2837995165,5000,0.2837581152,5000,0.2837223104,5000,0.2837815808,5000,0.283868496,5000,0.2838225568,5000,0.2838517856,5000,0.2837579488,5000,0.283847536,5000,0.2838088928,5000,0.2837759424,5000
0.53,0.2853606118,5000,0.2852288768,5000,0.2853608192,5000,0.2853467072,5000,0.2854066208,5000,0.2854141152,5000,0.2854159168,5000,0.285370432,5000,0.2853380992,5000,0.285457072,5000,0.2852674592,5000
0.54,0.2868699072,5000,0.286875328,5000,0.2869358016,5000,0.2867912544,5000,0.2868940512,5000,0.2868480832,5000,0.2868820736,5000,0.2867919072,5000,0.2868592928,5000,0.2869458112,5000,0.2868754688,5000
0.55,0.2883829066,5000,0.2882916896,5000,0.2883289088,5000,0.2884525216,5000,0.2883856096,5000,0.2883625664,5000,0.2883983712,5000,0.288397792,5000,0.288478112,5000,0.2883754592,5000,0.2883580352,5000
0.56,0.2898549021,5000,0.2898117568,5000,0.2898579648,5000,0.2897870144,5000,0.2898891872,5000,0.2898716544,5000,0.2898749632,5000,0.2898676832,5000,0.2898698976,5000,0.2897974144,5000,0.2899214848,5000
0.57,0.291344616,5000,0.2913340192,5000,0.2912400704,5000,0.2913663072,5000,0.2913364928,5000,0.2913472448,5000,0.2913735424,5000,0.291399024,5000,0.2913306336,5000,0.2913727456,5000,0.29134608,5000
0.58,0.2928103955,5000,0.2928521056,5000,0.2927320352,5000,0.2928399488,5000,0.2929298816,5000,0.292840032,5000,0.2927308576,5000,0.2927396576,5000,0.2928299968,5000,0.2928247328,5000,0.2927847072,5000
0.59,0.2942691744,5000,0.2942802528,5000,0.2942380288,5000,0.2942752928,5000,0.2942978048,5000,0.2943863616,5000,0.294169376,5000,0.2943569632,5000,0.2942004768,5000,0.2943193344,5000,0.2941678528,5000
0.6,0.2956421043,5000,0.295573632,5000,0.295581792,5000,0.295653376,5000,0.2956766208,5000,0.2956402976,5000,0.2957362816,5000,0.2956026144,5000,0.29560064,5000,0.295628304,5000,0.2957274848,5000
