pVal, biomass, longevity, fitness, top_pval, top_fitness, pVal_Two, biomass_Two, longevity_Two, top_Fitness_Two, top_Pval_Two
0.48, 0.06824974400000038, 5000.0, 341.24872000000187, 1.0, 3885.4261120000110.64, 0.25285897280000025, 5000.0, 1264.2948640000013, 1.0, 3880.3052800000137
0.64, 0.28847304000000085, 5000.0, 1442.3652000000043, 1.0, 3885.4261120000110.11, 0.017845116799999988, 5000.0, 89.22558399999994, 1.0, 3880.3052800000137
0.07, 0.03593297600000003, 5000.0, 179.66488000000015, 1.0, 3885.4261120000110.3, 0.22009983679999992, 5000.0, 1100.4991839999996, 1.0, 3880.3052800000137
0.32, 0.09551765440000005, 5000.0, 477.58827200000025, 1.0, 3885.4261120000110.4, 0.19894632000000023, 5000.0, 994.7316000000012, 1.0, 3880.3052800000137
0.31, 0.17326273920000002, 5000.0, 866.313696, 1.0, 3885.4261120000110.28, 0.10796505919999995, 5000.0, 539.8252959999998, 1.0, 3880.3052800000137
0.05, 0.003959734400000007, 5000.0, 19.798672000000035, 1.0, 3885.4261120000110.8, 0.31702110720000026, 5000.0, 1585.1055360000014, 1.0, 3880.3052800000137
0.04, 0.04147029759999999, 5000.0, 207.35148799999996, 1.0, 3885.4261120000110.16, 0.19739196479999985, 5000.0, 986.9598239999992, 1.0, 3880.3052800000137
0.3, 0.10040442879999963, 5000.0, 502.02214399999815, 1.0, 3885.4261120000110.36, 0.18824499519999985, 5000.0, 941.2249759999993, 1.0, 3880.3052800000137
0.5, 0.26219545279999973, 5000.0, 1310.9772639999987, 1.0, 3885.4261120000110.1, 0.0262289471999999, 5000.0, 131.1447359999995, 1.0, 3880.3052800000137
0.19, 0.17623548799999963, 5000.0, 881.1774399999982, 1.0, 3885.4261120000110.09, 0.06760658240000016, 5000.0, 338.0329120000008, 1.0, 3880.3052800000137
0.1, 0.0306458688, 5000.0, 153.229344, 1.0, 3885.4261120000110.45, 0.2507169920000002, 5000.0, 1253.584960000001, 1.0, 3880.3052800000137
0.52, 0.057048067200000045, 5000.0, 285.24033600000024, 1.0, 3885.4261120000110.71, 0.2686393503999991, 5000.0, 1343.1967519999955, 1.0, 3880.3052800000137
0.36, 0.23580149760000055, 5000.0, 1179.0074880000027, 1.0, 3885.4261120000110.07, 0.029344124800000027, 5000.0, 146.72062400000013, 1.0, 3880.3052800000137
0.01, 0.0036575776000000175, 5000.0, 18.287888000000088, 1.0, 3885.4261120000110.42, 0.26490278080000074, 5000.0, 1324.5139040000038, 1.0, 3880.3052800000137
0.28, 0.07355412479999994, 5000.0, 367.7706239999997, 1.0, 3885.4261120000110.46, 0.2236989792000004, 5000.0, 1118.494896000002, 1.0, 3880.3052800000137
0.63, 0.27366279679999944, 5000.0, 1368.3139839999972, 1.0, 3885.4261120000110.23, 0.03693781119999983, 5000.0, 184.68905599999914, 1.0, 3880.3052800000137
0.03, 0.003592758400000021, 5000.0, 17.963792000000105, 1.0, 3885.4261120000110.72, 0.30852669760000107, 5000.0, 1542.6334880000054, 1.0, 3880.3052800000137
0.54, 0.2391511007999997, 5000.0, 1195.7555039999986, 1.0, 3885.4261120000110.34, 0.06928148160000026, 5000.0, 346.40740800000134, 1.0, 3880.3052800000137
0.84, 0.2910828832000005, 5000.0, 1455.4144160000023, 1.0, 3885.4261120000110.78, 0.04325935039999991, 5000.0, 216.29675199999954, 1.0, 3880.3052800000137
0.45, 0.04057754879999988, 5000.0, 202.88774399999937, 1.0, 3885.4261120000110.76, 0.28580321600000075, 5000.0, 1429.0160800000037, 1.0, 3880.3052800000137
0.43, 0.024974700800000072, 5000.0, 124.87350400000037, 1.0, 3885.4261120000110.84, 0.30502955839999996, 5000.0, 1525.1477919999998, 1.0, 3880.3052800000137
0.2, 0.19532991999999932, 5000.0, 976.6495999999967, 1.0, 3885.4261120000110.06, 0.04685227199999997, 5000.0, 234.26135999999985, 1.0, 3880.3052800000137
0.22, 0.010480051199999991, 5000.0, 52.400255999999956, 1.0, 3885.4261120000110.87, 0.3186206016000008, 5000.0, 1593.103008000004, 1.0, 3880.3052800000137
0.27, 0.1883903648000001, 5000.0, 941.9518240000004, 1.0, 3885.4261120000110.14, 0.07135179200000015, 5000.0, 356.75896000000074, 1.0, 3880.3052800000137
0.18, 0.04488922880000013, 5000.0, 224.44614400000066, 1.0, 3885.4261120000110.5, 0.24941421759999985, 5000.0, 1247.0710879999992, 1.0, 3880.3052800000137
0.11, 0.060724908800000005, 5000.0, 303.624544, 1.0, 3885.4261120000110.26, 0.19403475199999948, 5000.0, 970.1737599999974, 1.0, 3880.3052800000137
0.37, 0.21474391999999984, 5000.0, 1073.7195999999992, 1.0, 3885.4261120000110.17, 0.062179075199999975, 5000.0, 310.8953759999999, 1.0, 3880.3052800000137
0.12, 0.012227200000000028, 5000.0, 61.136000000000145, 1.0, 3885.4261120000110.75, 0.3056228416000004, 5000.0, 1528.114208000002, 1.0, 3880.3052800000137
0.71, 0.28553276799999977, 5000.0, 1427.6638399999988, 1.0, 3885.4261120000110.29, 0.03382390719999998, 5000.0, 169.1195359999999, 1.0, 3880.3052800000137
